Al 6.60                                                -4.560-2.872-1.504-0.024-1.699-4.151
Al 6.70                                                      -3.206-1.636-0.048-1.104-2.840
Al 6.80                                                      -3.544-1.787-0.119-0.680-1.823
Al 6.90                                                      -3.944-2.014-0.272-0.429-1.078
Al 7.00                                                      -4.451-2.354-0.535-0.353-0.586
Al 7.10                                                            -2.805-0.898-0.425-0.305
Al 7.20                                                            -3.319-1.314-0.584-0.161
Al 7.30                                                            -3.847-1.738-0.776-0.089
Al 7.40                                                            -4.368-2.143-0.970-0.053
Al 7.50                                                            -4.866-2.524-1.156-0.033
Al 7.60                                                                  -2.879-1.329-0.021
Al 7.70                                                                  -3.211-1.490-0.015
Al 7.80                                                                  -3.522-1.640-0.010
Al 7.90                                                                  -3.815-1.780-0.007
Al 8.00                                                                  -4.093-1.910-0.005
Si 4.00-1.024-0.043-4.192
Si 4.10-1.829-0.008-2.539
Si 4.20-2.463-0.020-1.391
Si 4.30-2.951-0.102-0.680
Si 4.40-3.400-0.303-0.299-4.702
Si 4.50-3.866-0.599-0.126-3.285
Si 4.60-4.339-0.928-0.058-2.194
Si 4.70-4.812-1.265-0.047-1.336-2.824
Si 4.80      -1.671-0.142-0.724-1.160
Si 4.90      -2.488-0.681-0.665-0.243
Si 5.00      -3.752-1.692-1.165-0.040
Si 5.10            -2.672-1.705-0.010-3.505
Si 5.20            -3.491-2.138-0.007-2.036
Si 5.30            -4.155-2.457-0.054-0.945-4.125
Si 5.40            -4.823-2.812-0.285-0.322-2.453
Si 5.50                  -3.297-0.716-0.116-1.388-3.800
Si 5.60                  -3.857-1.231-0.133-0.700-2.230
Si 5.70                  -4.543-1.855-0.349-0.333-1.132-3.096
Si 5.80                        -2.657-0.803-0.301-0.493-1.729-3.509
Si 5.90                        -3.639-1.479-0.566-0.255-0.890-2.000-3.591
Si 6.00                        -4.767-2.333-1.067-0.334-0.468-1.024-1.961-3.350-4.675
Si 6.10                              -3.395-1.820-0.731-0.442-0.532-0.923-1.707-2.376
Si 6.20                              -4.792-2.942-1.545-0.892-0.585-0.516-0.799-0.926
Si 6.30                                    -4.504-2.837-1.867-1.214-0.753-0.620-0.295
Si 6.40                                          -4.299-3.047-2.089-1.289-0.805-0.106-4.447
Si 6.50                                                -4.157-2.928-1.832-1.048-0.049-3.268
Si 6.60                                                      -3.656-2.297-1.254-0.029-2.342
Si 6.70                                                      -4.276-2.682-1.409-0.029-1.614-3.917
Si 6.80                                                      -4.830-3.022-1.543-0.055-1.055-2.690
Si 6.90                                                            -3.371-1.703-0.130-0.658-1.738
Si 7.00                                                            -3.783-1.938-0.283-0.424-1.041
Si 7.10                                                            -4.292-2.281-0.539-0.354-0.579
Si 7.20                                                            -4.891-2.723-0.887-0.420-0.312
Si 7.30                                                                  -3.221-1.283-0.566-0.170
Si 7.40                                                                  -3.735-1.686-0.744-0.098
Si 7.50                                                                  -4.240-2.074-0.926-0.059
Si 7.60                                                                  -4.725-2.440-1.102-0.038
Si 7.70                                                                        -2.783-1.267-0.025
Si 7.80                                                                        -3.103-1.421-0.017
Si 7.90                                                                        -3.405-1.566-0.012
Si 8.00                                                                        -3.690-1.702-0.009
P  4.00-0.217-0.405
P  4.10-1.027-0.043-3.556
P  4.20-1.910-0.009-2.064
P  4.30-2.538-0.033-1.156
P  4.40-2.906-0.132-0.583-3.872
P  4.50-3.229-0.352-0.258-2.579
P  4.60-3.618-0.673-0.117-1.638
P  4.70-4.072-1.053-0.098-0.946-4.445
P  4.80-4.610-1.505-0.199-0.475-2.929
P  4.90      -2.050-0.432-0.218-1.805-3.189
P  5.00      -2.688-0.790-0.153-1.016-1.440
P  5.10      -3.626-1.475-0.467-0.720-0.362
P  5.20            -2.653-1.321-1.051-0.065-4.285
P  5.30            -3.807-2.184-1.463-0.019-2.789
P  5.40            -4.722-2.838-1.717-0.018-1.677
P  5.50                  -3.361-1.882-0.071-0.863-3.294
P  5.60                  -3.950-2.145-0.265-0.360-1.886
P  5.70                  -4.717-2.613-0.657-0.178-0.956-2.606
P  5.80                        -3.289-1.236-0.276-0.436-1.346-3.372
P  5.90                        -4.193-2.022-0.655-0.299-0.595-1.904-3.766
P  6.00                              -3.002-1.287-0.497-0.283-0.998-2.167-3.701
P  6.10                              -4.125-2.106-0.946-0.306-0.527-1.111-2.017-3.255-4.484
P  6.20                                    -3.149-1.669-0.667-0.472-0.558-0.934-1.589-2.201
P  6.30                                    -4.589-2.827-1.515-0.964-0.621-0.545-0.728-0.830
P  6.40                                          -4.429-2.844-1.984-1.270-0.803-0.602-0.278
P  6.50                                                -4.284-3.151-2.111-1.303-0.785-0.109-4.125
P  6.60                                                      -4.233-2.905-1.797-1.008-0.054-3.033
P  6.70                                                            -3.596-2.222-1.194-0.035-2.178
P  6.80                                                            -4.195-2.582-1.341-0.036-1.506-3.642
P  6.90                                                            -4.742-2.914-1.476-0.065-0.993-2.509
P  7.00                                                                  -3.264-1.645-0.143-0.630-1.629
P  7.10                                                                  -3.677-1.890-0.299-0.418-0.985
P  7.20                                                                  -4.181-2.236-0.553-0.359-0.559
P  7.30                                                                  -4.765-2.674-0.890-0.423-0.309
P  7.40                                                                        -3.160-1.269-0.559-0.174
P  7.50                                                                        -3.662-1.655-0.726-0.103
P  7.60                                                                        -4.153-2.028-0.897-0.064
P  7.70                                                                        -4.624-2.380-1.064-0.041
P  7.80                                                                              -2.711-1.221-0.028
P  7.90                                                                              -3.022-1.369-0.019
P  8.00                                                                              -3.315-1.509-0.014
P  8.10                                                                              -3.593-1.641-0.010
P  8.20                                                                              -3.870-1.772-0.007
P  8.30                                                                              -4.129-1.896-0.006
P  8.40                                                                              -4.374-2.012-0.004
P  8.50                                                                              -4.609-2.123-0.003
